genres,keywords,title,cast,director
Romance Drama,brother brother relationship mentally disabled iowa widow dysfunctional family,What's Eating Gilbert Grape,Johnny Depp Leonardo DiCaprio Juliette Lewis Darlene Cates Mary Steenburgen,Lasse Hallstr\u00f6m
Drama History,miracle jesus christ last supper bible christian,The Visual Bible: The Gospel of John,Christopher Plummer Henry Ian Cusick Stuart Bunce Daniel Kash Stephen Russell,Philip Saville
Crime Drama,england mother role women's prison police neighbor,Vera Drake,Imelda Staunton Sally Hawkins Richard Graham Eddie Marsan Anna Keaveney,Mike Leigh
Comedy Romance,sex indian lead dancing master new love porn actor,The Guru,Jimi Mistry Heather Graham Marisa Tomei Michael McKean Dash Mihok,Daisy von Scherler Mayer
Comedy Drama Romance,immigration independent film woman director political prisoner cuban refugees,The Perez Family,Marisa Tomei Alfred Molina Anjelica Huston Chazz Palminteri Trini Alvarado,Mira Nair
Drama Music,folk music performance aspiring singer new york city recording,Inside Llewyn Davis,Oscar Isaac Carey Mulligan Justin Timberlake Jerry Grayson Robin Bartlett,Joel Coen
Drama Romance Thriller,sex jealousy girlfriend high school columbine,O,Mekhi Phifer Josh Hartnett Andrew Keegan Julia Stiles Martin Sheen,Tim Blake Nelson
Drama Adventure Romance,island marooned pacific island teenager deserted island,Return to the Blue Lagoon,Milla Jovovich Brian Krause Lisa Pelikan Courtney Barilla Garette Ratliff Henson,William A. Graham
Drama History,pennsylvania miner coal mining coal mine pennsylvania coal miner,The Molly Maguires,Sean Connery Samantha Eggar Richard Harris Frank Finlay Anthony Zerbe,Martin Ritt
Comedy Music Romance,infidelity lovers working class new york city,Romance & Cigarettes,James Gandolfini Susan Sarandon Kate Winslet Steve Buscemi Mandy Moore,John Turturro
Drama,beethoven woman director,Copying Beethoven,Ed Harris Diane Kruger Matthew Goode Phyllida Law Ralph Riach,Agnieszka Holland
Drama Thriller Crime,waitress riot gang war nightmare prayer,Brighton Rock,Andy Serkis Helen Mirren John Hurt Sam Riley Andrea Riseborough,Rowan Joffe
Horror Thriller Crime,blood splatter serial killer pig mask nazi jigsaw,Saw V,Tobin Bell Costas Mandylor Scott Patterson Betsy Russell Mark Rolston,David Hackl
Drama Action Thriller Crime Foreign,mobster,Machine Gun McCain,John Cassavetes Britt Ekland Peter Falk Gabriele Ferzetti Margherita Guzzinati,Giuliano Montaldo
Drama Comedy Romance,coming of age mother daughter relationship teen movie teenager based on film,LOL,Miley Cyrus Demi Moore Douglas Booth Ashley Greene Ashley Hinshaw,Lisa Azuelos
Crime Drama Mystery Thriller,small town fishing male friendship australia marriage crisis,Jindabyne,Laura Linney Gabriel Byrne Deborra-Lee Furness John Howard Leah Purcell,Ray Lawrence
Drama Romance,adultery extramarital affair,Kabhi Alvida Naa Kehna,Shah Rukh Khan Rani Mukerji Preity Zinta Abhishek Bachchan Amitabh Bachchan,Karan Johar
Drama Comedy Romance,,An Ideal Husband,Cate Blanchett Minnie Driver Rupert Everett Julianne Moore Jeremy Northam,Oliver Parker
Science Fiction Thriller Horror,mars science fiction zombie,The Last Days on Mars,Liev Schreiber Romola Garai Elias Koteas Olivia Williams Johnny Harris,Ruairi Robinson
Horror,loss of child solar eclipse haunted house family psychopathy,Darkness,Anna Paquin Lena Olin Iain Glen Giancarlo Giannini Fele Mart\u00ednez,Jaume Balaguer\u00f3
Science Fiction Mystery Adventure,moon jupiter artificial intelligence man vs machine technology,2001: A Space Odyssey,Keir Dullea Gary Lockwood William Sylvester Douglas Rain Daniel Richter,Stanley Kubrick
Science Fiction Adventure Family Fantasy,farewell homesickness nasa extraterrestrial technology operation,E.T. the Extra-Terrestrial,Henry Thomas Drew Barrymore Robert MacNaughton Dee Wallace Peter Coyote,Steven Spielberg
Romance Comedy Drama,infidelity party love cancer neighbor,In the Land of Women,Meg Ryan Kristen Stewart Adam Brody JoBeth Williams Olympia Dukakis,Jon Kasdan
Adventure Drama Family,rain butterfly rainforest woman director insects,The Blue Butterfly,Marc Donato Pascale Bussi\u00e8res William Hurt Raoul Max Trujillo Steve Adams,L\u00e9a Pool
Drama Comedy,,There Goes My Baby,Dermot Mulroney Ricky Schroder Kelli Williams Noah Wyle Lucy Deakins,Floyd Mutrux
Drama Comedy Romance Foreign,,Housefull,Akshay Kumar Ritesh Deshmukh Deepika Padukone Lara Dutta Jiah Khan,Sajid Khan
Drama Action History Western Romance,,September Dawn,Jon Voight Tamara Hope Trent Ford Lolita Davidovich Dean Cain,Christopher Cain
History Drama,duringcreditsstinger,For Greater Glory - The True Story of Cristiada,Eva Longoria Andy Garc\u00eda Oscar Isaac Peter O'Toole Rub\u00e9n Blades,Dean Wright
Comedy Drama Music,deafness music coming of age teenage girl singing,The Bélier Family,Louane Emera Karin Viard Fran\u00e7ois Damiens Eric Elmosnino Roxane Duran,Eric Lartigau
Drama,baseball boston professor m.i.t. harvard university,Good Will Hunting,Robin Williams Matt Damon Ben Affleck Stellan Skarsg\u00e5rd Minnie Driver,Gus Van Sant
Drama Thriller,,Misconduct,Josh Duhamel Alice Eve Malin \u00c5kerman Lee Byung-hun Julia Stiles,Shintaro Shimosawa
Horror Thriller Crime,brain tumor nudity suffocation mutilation severed foot,Saw III,Tobin Bell Shawnee Smith Angus Macfadyen Bahar Soomekh Dina Meyer,Darren Lynn Bousman
Action Comedy,date ex-girlfriend u.s. army military spoof,Stripes,Bill Murray Harold Ramis Warren Oates P.J. Soles Sean Young,Ivan Reitman
Comedy,cheerleader sport high school teenage girl cheerleading,Bring It On,Kirsten Dunst Jesse Bradford Eliza Dushku Gabrielle Union Huntley Ritter,Peyton Reed
Action Horror Thriller,dystopia sequel legalized murder,The Purge: Election Year,Elizabeth Mitchell Frank Grillo Mykelti Williamson Edwin Hodge Raymond J. Barry,James DeMonaco
Comedy Romance,tv star jeep volleyball misfit teen angst,She's All That,Freddie Prinze Jr. Rachael Leigh Cook Matthew Lillard Paul Walker Jodi Lyn O'Keefe,Robert Iscove
Horror Thriller Crime,ice victim pain games psychopath,Saw IV,Tobin Bell Scott Patterson Costas Mandylor Betsy Russell Lyriq Bent,Darren Lynn Bousman
Drama Horror Thriller,wheelchair time voice inspector supernatural,White Noise,Michael Keaton Chandra West Deborah Kara Unger Ian McNeice Keegan Connor Tracy,Geoffrey Sax
Drama Comedy Romance,spanking based on play,Madea's Family Reunion,Tyler Perry Blair Underwood Lynn Whitfield Boris Kodjoe Lisa Arrindell,Tyler Perry
Drama,bar billard talent hustler sport,The Color of Money,Paul Newman Tom Cruise Mary Elizabeth Mastrantonio Helen Shaver John Turturro,Martin Scorsese
Action Drama History War,world war ii normandy allied widerstand steel helmet,The Longest Day,Eddie Albert Paul Anka Arletty Jean-Louis Barrault Richard Beymer,Bernhard Wicki
Comedy Family,sports team sport ice hockey hockey game winning,The Mighty Ducks,Emilio Estevez Joss Ackland Lane Smith Heidi Kling Josef Sommer,Stephen Herek
Horror Mystery Thriller,male nudity nurse japanese house remake,The Grudge,Sarah Michelle Gellar Jason Behr Clea DuVall Bill Pullman William Mapother,Takashi Shimizu
Comedy,loss of mother loss of father golf sport taxes,Happy Gilmore,Adam Sandler Ben Stiller Christopher McDonald Julie Bowen Frances Bay,Dennis Dugan
Horror Thriller,mass murder song brother sister aftercreditsstinger,Jeepers Creepers,Gina Philips Justin Long Jonathan Breck Patricia Belcher Eileen Brennan,Victor Salva
Adventure Comedy Science Fiction,jealousy journey in the past sigmund freud time travel heavy metal,Bill & Ted's Excellent Adventure,Keanu Reeves Alex Winter George Carlin Dan Shor Hal Landon Jr.,Stephen Herek
Drama Family Music,pickpocket musical victorian england orphan,Oliver!,Ron Moody Shani Wallis Oliver Reed Harry Secombe Mark Lester,Carol Reed
Drama Comedy,hotel based on novel india ensemble cast elderly,The Best Exotic Marigold Hotel,Bill Nighy Maggie Smith Tom Wilkinson Judi Dench Dev Patel,John Madden
Science Fiction Animation Comedy Family,holiday elementary school friends based on tv series summer,Recess: School's Out,Rickey D'Shon Collins Jason Davis Ashley Johnson Courtland Mead Pamela Adlon,Chuck Sheetz
Action Adventure Science Fiction,arena sandstorm dystopia oasis sequel,Mad Max Beyond Thunderdome,Mel Gibson Tina Turner Bruce Spence Helen Buday Angelo Rossitto,George Miller
Action Adventure Thriller,kidnapping lone wolf daughter father rescue mission,Commando,Arnold Schwarzenegger Rae Dawn Chong Dan Hedaya Vernon Wells James Olson,Mark L. Lester
Horror Mystery Thriller,suicide england fire country house shower,The Boy,Lauren Cohan Rupert Evans James Russell Jim Norton Diana Hardcastle,William Brent Bell
Horror Mystery Thriller,claustrophobia trapped in an elevator,Devil,Chris Messina Jacob Vargas Bojana Novakovi\u0107 Logan Marshall-Green Bokeem Woodbine,John Erick Dowdle
Comedy,guard shopping mall thief drug,Friday After Next,Ice Cube Mike Epps John Witherspoon Don Curry Anna Maria Horsford,Marcus Raboy
Drama Horror Thriller,sequel,Insidious: Chapter 3,Dermot Mulroney Stefanie Scott Lin Shaye Leigh Whannell Angus Sampson,Leigh Whannell
Action Adventure Comedy,martial arts pizzeria limousine music,The Last Dragon,Taimak Julius Carry Vanity Christopher Murney Faith Prince,Michael Schultz
Horror Thriller Science Fiction,dream chimp manipulation botanist virtual reality,The Lawnmower Man,Jeff Fahey Pierce Brosnan Jenny Wright Mark Bringelson Geoffrey Lewis,Brett Leonard
Comedy Music Romance,concert teenager one night based on young adult novel secret location,Nick and Norah's Infinite Playlist,Michael Cera Kat Dennings Aaron Yoo Alexis Dziena Ari Graynor,Peter Sollett
Fantasy Comedy Adventure,angel wisconsin church service church aftercreditsstinger,Dogma,Ben Affleck Matt Damon Linda Fiorentino Jason Mewes Chris Rock,Kevin Smith
Comedy Drama,tattoo rock star groupie past family,The Banger Sisters,Goldie Hawn Susan Sarandon Geoffrey Rush Erika Christensen Robin Thomas,Bob Dolman
Drama Fantasy Horror Science Fiction Thriller,nazis anthology remake twilight zone,Twilight Zone: The Movie,Albert Brooks Vic Morrow John Larroquette John Lithgow Dan Aykroyd,Steven Spielberg
Action Thriller,new love protection money nightclub rausschmei\u00dfer revenge,Road House,Patrick Swayze Kelly Lynch Sam Elliott Ben Gazzara Marshall R. Teague,Rowdy Herrington
Action Comedy Crime,fbi drug crime violence drug private detective,A Low Down Dirty Shame,Keenen Ivory Wayans Charles S. Dutton Jada Pinkett Smith Salli Richardson-Whitfield Andrew Divoff,Keenen Ivory Wayans
Drama Thriller,competition coma infidelity obsession bathing,Swimfan,Jesse Bradford Erika Christensen Shiri Appleby Kate Burton Jason Ritter,John Polson
Comedy Romance,salesclerk midlife crisis prenzlauer berg vulgar slacker,Employee of the Month,Dane Cook Jessica Simpson Dax Shepard Andy Dick Tim Bagley,Greg Coolidge
Comedy Drama Romance,alcohol regret homophobia radio cheerleader,Can't Hardly Wait,Jennifer Love Hewitt Ethan Embry Charlie Korsmo Lauren Ambrose Peter Facinelli,Deborah Kaplan
Crime Drama,street gang children's home coming of age gang juvenile delinquent,The Outsiders,Matt Dillon Ralph Macchio C. Thomas Howell Patrick Swayze Rob Lowe,Francis Ford Coppola
Adventure Family Fantasy,feral child remake dragon orphan 1980s,Pete's Dragon,Bryce Dallas Howard Oakes Fegley Wes Bentley Karl Urban Oona Laurence,David Lowery
Horror Science Fiction Thriller,coma sheriff based on novel sacrifice suspense,The Dead Zone,Christopher Walken Brooke Adams Tom Skerritt Martin Sheen Herbert Lom,David Cronenberg
Horror,haunted house sequel twins,Sinister 2,Shannyn Sossamon James Ransone Robert Daniel Sloan Dartanian Sloan Lea Coco,Ciaran Foy
Drama Music,soong sisters duringcreditsstinger,Sparkle,Whitney Houston Cee Lo Green Derek Luke Mike Epps Carmen Ejogo,Salim Akil
Horror Thriller,mobbing success violence against women revenge serial killer,Valentine,Denise Richards David Boreanaz Marley Shelton Jessica Capshaw Jessica Cauffiel,Jamie Blanks
Mystery Science Fiction Thriller,brother sister relationship wheelchair hypnosis investigation cover-up,The Fourth Kind,Milla Jovovich Will Patton Hakeem Kae-Kazim Corey Johnson Enzo Cilenti,Olatunde Osunsanmi
Drama Comedy Music,usa country music commercial radio presenter radio transmission,A Prairie Home Companion,Meryl Streep Lindsay Lohan Virginia Madsen Woody Harrelson Garrison Keillor,Robert Altman
Drama Action Thriller,,Sugar Hill,Wesley Snipes Michael Wright Donald Faison O.L. Duke Leslie Uggams,Leon Ichaso
Action Thriller,,Invasion U.S.A.,Chuck Norris Richard Lynch Melissa Prophet Alexander Zale Alex Colon,Joseph Zito
Comedy Drama Family,,Roll Bounce,Nick Cannon Shad Moss Chi McBride Meagan Good Brandon T. Jackson,Malcolm D. Lee
Comedy Drama,private school lone wolf theatre play theatre group theatre director,Rushmore,Jason Schwartzman Olivia Williams Bill Murray Seymour Cassel Mason Gamble,Wes Anderson
Science Fiction,missile light transformation low-budget alien,Skyline,Eric Balfour Scottie Thompson David Zayas Donald Faison Brittany Daniel,Colin Strause
Drama Comedy,india retirement home,The Second Best Exotic Marigold Hotel,Dev Patel Judi Dench Richard Gere Maggie Smith Bill Nighy,John Madden
Comedy Drama Family,cincinnati woman director,Kit Kittredge: An American Girl,Abigail Breslin Chris O'Donnell Julia Ormond Stanley Tucci Joan Cusack,Patricia Rozema
Comedy Drama Family Romance,mother man-woman relation single matchmaking single mother,The Perfect Man,Hilary Duff Heather Locklear Chris Noth Mike O'Malley Ben Feldman,Mark Rosman
Drama Romance,musical,Mo' Better Blues,Denzel Washington Spike Lee Wesley Snipes Giancarlo Esposito John Turturro,Spike Lee
Action Comedy,loss of family loss of parents supernatural powers invulnerability spoof,Kung Pow: Enter the Fist,Hui Lou Chen Tad Horino Steve Oedekerk Jennifer Tung Ming Lo,Steve Oedekerk
Action Horror,nevada small town tractor stranded cult favorite,Tremors,Kevin Bacon Fred Ward Finn Carter Michael Gross Reba McEntire,Ron Underwood
Horror Thriller,life and death death of a friend parts of dead body,Wrong Turn,Desmond Harrington Eliza Dushku Emmanuelle Chriqui Jeremy Sisto Kevin Zegers,Rob Schmidt
Western History,brother brother relationship jesse james cole younger,The Long Riders,David Carradine Keith Carradine Robert Carradine James Keach Stacy Keach,Walter Hill
Action Crime Mystery Thriller,new york life and death gang war police china town,The Corruptor,Mark Wahlberg Chow Yun-fat Byron Mann Kim Chan Ric Young,James Foley
Drama,river snake arkansas fugitive river boat,Mud,Matthew McConaughey Tye Sheridan Jacob Lofland Sam Shepard Reese Witherspoon,Jeff Nichols
Action Adventure Comedy Crime,sex terrorist beach nudity police,Reno 911!: Miami,Lennie Loftin Danny DeVito Ben Garant Carlos Alazraqui Mary Birdsong,Ben Garant
Documentary Music,concert,One Direction: This Is Us,Harry Styles Niall Horan Zayn Malik Louis Tomlinson Liam Payne,Morgan Spurlock
Comedy,duringcreditsstinger,"The Goods: Live Hard, Sell Hard",Jeremy Piven Ving Rhames James Brolin David Koechner Kathryn Hahn,Neal Brennan
Animation Family,,Hey Arnold! The Movie,Spencer Klein Francesca Smith Jamil Walker Smith Dan Castellaneta Tress MacNeille,Tuck Tucker
Drama,based on novel biography historical figure marilyn monroe,My Week with Marilyn,Michelle Williams Eddie Redmayne Kenneth Branagh Julia Ormond Judi Dench,Simon Curtis
Action Comedy Crime Drama Thriller,mexico city midlife crisis cocktail independent film stranger,The Matador,Pierce Brosnan Greg Kinnear Hope Davis Portia Dawson Adam Scott,Richard Shepard
Comedy Drama Romance,sex ex-boyfriend independent film african american,Love Jones,Larenz Tate Nia Long Isaiah Washington Bill Bellamy Lisa Nicole Carson,Theodore Witcher
Thriller Mystery,detective stalker gift bully psychological thriller,The Gift,Jason Bateman Rebecca Hall Joel Edgerton Allison Tolman Tim Griffin,Joel Edgerton
Adventure Drama,drama,End of the Spear,Louie Leonardo Chad Allen Jack Guzman Chase Ellison Sylvia Jefferies,Jim Hanon
Comedy Romance,theatre play theatre group high school falling in love,Get Over It,Kirsten Dunst Ben Foster Melissa Sagemiller Colin Hanks Zoe Saldana,Tommy O'Haver
Comedy Crime,suburbia downsizing software engineer burnout dallas texas,Office Space,Ron Livingston Jennifer Aniston David Herman Ajay Naidu Diedrich Bader,Mike Judge
Comedy,minnesota mother role beauty contest girl from the province hicktown,Drop Dead Gorgeous,Kirsten Dunst Ellen Barkin Denise Richards Amy Adams Kirstie Alley,Michael Patrick Jann
Drama,wife husband relationship artist court case,Big Eyes,Amy Adams Christoph Waltz Krysten Ritter Danny Huston Jason Schwartzman,Tim Burton
Comedy Crime Thriller,prostitute hotel cocaine nudity psychopath,Very Bad Things,Jon Favreau Leland Orser Cameron Diaz Christian Slater Jeremy Piven,Peter Berg
Comedy Family,high school scavenger hunt teenage crush slumber party teenager,Sleepover,Alexa PenaVega Mika Boorem Jane Lynch Sara Paxton Brie Larson,Joe Nussbaum
